"deg1","deg2","deg3"
-7.34079606187858,167.030247191016,253.692324930153
-7.35190671557094,164.310636047197,247.584597506631
-7.36711313371942,155.706265288561,265.043355737488
-7.35599955316418,157.950446676214,237.270543161911
-7.34656130094901,163.205378787388,253.705014088888
-7.35889345973658,156.121763265297,250.695796824585
-7.36590026133998,158.66016791281,267.862403996476
-7.35873482131129,160.944332752202,247.271864117342
-7.36779675343931,159.758888877073,251.694248205942
-7.35882068858518,154.176477829538,252.545568780324
